work_id,department,asset_type,work_type,route,season,criticality,days_overdue,failure_probability,asset_availability_impact,train_density,passenger_trains,goods_trains,historical_failures,last_maintenance_days,route_importance,dependency_count,crew_size,complexity,weather_risk,equipment_required,location_km,corridor_capacity_hours,train_conflict_count,preferred_window_hour,block_feasibility,priority_score_target,priority_class_target,risk_score_target,risk_class_target,duration_hours_actual
WR-100021,Engineering,Point Machine,Point Machine Maintenance,LNL-KARJAT,Monsoon,2,9,0.44879869350152085,0.26257399608645066,90,15,13,3,545,0.7765369170414251,5,8,0.6714816234162039,0.2887857486285573,5,179.6059389835203,5.361147269630234,16,0,0.9937407178549068,0.4855046491526812,Medium,0.464149590367791,Medium,9.062333385393016
WR-100022,Engineering,Signal,Rail Fracture Inspection,KYN-PNVL,Winter,3,5,0.10703172440164546,0.765449802775749,77,28,22,2,856,0.41537942313786536,2,4,0.22798609209280063,0.868492489842658,6,133.28103949770824,2.2322131226805135,2,0,0.371914600283637,0.5067428128130103,Medium,0.40167531748189184,Medium,7.421303136938534
WR-100023,Engineering,Cable,OHE Insulator Replacement,LNL-KARJAT,Winter,2,10,0.48620681391838294,0.5442733203325567,90,50,11,5,803,0.9000488373066667,1,7,0.9753908630890771,0.6279222355628058,1,63.59627319879218,5.840460096222289,0,4,0.6499512810408006,0.5802069576920312,Medium,0.6074580523058228,High,8.179864584347733
WR-100024,TRD,Turnout,BPAC Maintenance,DD-PUNE,Monsoon,3,3,0.2947151852394967,0.45044175161281313,94,15,5,2,815,0.801106860179835,3,6,0.6552380743491111,0.5062681646752714,4,25.986607783292065,7.710645231792098,19,22,0.40087800980434807,0.5448998498792217,Medium,0.4608365671325744,Medium,10.057878271296188
WR-100025,S&T,BPAC,Rail Fracture Inspection,PUNE-SOL,Summer,2,7,0.5226716027855617,0.6556168728622509,21,61,10,3,90,0.8040002522510767,2,7,0.6467828755118994,0.693306253867554,6,5.981652421274797,4.442518078094668,13,3,0.7774335073664318,0.5287085326514234,Medium,0.5113762857962736,Medium,6.722655476690439
WR-100026,Engineering,BPAC,BPAC Maintenance,PUNE-SOL,Summer,1,6,0.5268446647503569,0.6219065725169555,98,25,4,3,862,0.5587098064746812,6,8,0.10298632415113872,0.4288086393309214,2,168.48686099069405,6.2207804770780815,17,4,0.6672516790958489,0.4254893284284315,Medium,0.4792110182123283,Medium,8.98507101932312
WR-100027,TRD,BPAC,Rail Fracture Inspection,PUNE-SOL,Summer,3,12,0.2510434865417876,0.25998616372961536,96,47,12,4,49,0.7987540840175698,0,9,0.5042915807919731,0.4256136790143561,2,208.03115299348696,2.558543165245015,16,23,0.6464638050089477,0.5511407043029976,Medium,0.4320761751223134,Medium,5.281363855880501
WR-100028,TRD,Point Machine,Rail Joint Renewal,LNL-KARJAT,Monsoon,4,9,0.652150099187971,0.23611184188458442,33,25,16,3,25,0.9976527236175297,0,6,0.17074246834893647,0.9031667046140377,1,185.3337725067132,6.039346831345226,19,4,0.6281804030899807,0.6260494439925454,High,0.5610421567902034,High,6.169000627021318
WR-100029,Engineering,BPAC,OHE Maintenance,DD-PUNE,Monsoon,4,6,0.2402779738158188,0.6061344123850048,52,32,4,2,391,0.42222515636643915,5,12,0.6948068201809643,0.2947832943446864,2,151.59598905236345,3.741681666786712,2,22,0.606190687159067,0.5953092920605311,Medium,0.4221293739945874,Medium,7.382423735190281
WR-100030,TRD,Rail,OHE Insulator Replacement,PUNE-LNL,Monsoon,1,8,0.35679502292241,0.6370493500167645,90,13,22,4,728,0.39190559015167403,4,2,0.30890303448560463,0.2276879678972823,6,193.93291429990015,6.832756837236847,17,1,0.6419266356033029,0.41915186995071596,Medium,0.4123311015489593,Medium,8.501755038401576
WR-100031,Engineering,Track,Point Machine Maintenance,PUNE-MMR,Summer,3,11,0.4376748584076582,0.29419456360079554,60,46,12,2,208,0.8900398803566151,4,10,0.4924142456073144,0.9048471789453492,4,11.399397492049296,7.730948617340962,17,22,0.440893324449269,0.5411522459945869,Medium,0.4555595826286564,Medium,7.134635002933727
WR-100032,Engineering,Turnout,OHE Insulator Replacement,PUNE-SOL,Summer,1,8,0.06265158445967316,0.31527487101099694,35,15,17,5,396,0.7901513717825095,6,5,0.983127970016389,0.8602678050489937,5,210.56807559731243,6.521406787389855,10,2,0.5794296175678715,0.34558504005929247,Low,0.29416182350197484,Low,9.202715497547011
WR-100033,S&T,Rail,Rail Fracture Inspection,LNL-KARJAT,Summer,3,6,0.33928272323550546,0.9502913099685611,92,29,22,4,328,0.7846840425893408,1,12,0.7392090647351219,0.18050510515521723,6,174.849569529628,5.5228024142823955,11,4,0.5074109975917973,0.689382580677552,High,0.569023602455597,High,6.588007864366484
WR-100034,S&T,Mast,Mast Foundation Inspection,PUNE-LNL,Monsoon,4,10,0.543416904800369,0.7784298698152181,100,27,14,3,689,0.5969973827646786,0,5,0.8250578739519834,0.7236080576446461,1,135.04427031211617,3.06492896818881,15,1,0.9034584053711916,0.7709241931681385,High,0.6639966647055164,High,8.565304460769527
WR-100035,S&T,Rail,BPAC Maintenance,KYN-PNVL,Summer,3,13,0.1359907101423208,0.3694274863136806,96,44,13,2,236,0.41665254146673214,1,8,0.11288645722310267,0.20259311433320115,3,21.08695760090329,3.271041184838168,11,22,0.5288130270540512,0.4751516962487304,Medium,0.25563527810658837,Low,5.746523783783884
WR-100036,Engineering,Track,OHE Maintenance,DD-PUNE,Summer,4,13,0.4028541517648667,0.7751813956477563,69,37,6,3,779,0.7569413291448079,2,9,0.7622055568292874,0.865093276064228,6,107.84214553121099,6.78471153641433,3,23,0.6795365066686995,0.7409746006598044,High,0.5557690002783544,High,9.344491807497054
WR-100037,Engineering,Signal,OHE Insulator Replacement,PUNE-SOL,Monsoon,3,8,0.3083681563821988,0.4362620053324356,83,12,21,2,146,0.7331848733305427,5,5,0.45029571371324706,0.05247867482107338,3,96.64823175820584,3.8525492983967253,17,2,0.49561211301879615,0.5275687905716553,Medium,0.3987575073453212,Medium,6.0942999950529915
WR-100038,TRD,Signal,Rail Joint Renewal,LNL-KARJAT,Monsoon,3,8,0.33534088469320605,0.33189190560088133,35,50,7,3,263,0.9257962198914201,1,3,0.7263496437278425,0.38953903681587987,1,0.3238088589913868,2.818651144282433,14,1,0.7439265692943584,0.5358166208081169,Medium,0.4874644961514985,Medium,7.000367807477567
WR-100039,TRD,Track,Rail Fracture Inspection,PUNE-LNL,Summer,1,8,0.630812489378057,0.2971657360623657,77,52,9,0,534,0.46049651745260517,5,11,0.14985859621991116,0.7022971906314419,1,123.7059312330399,5.222714518579643,10,5,0.7233356909599056,0.4026703980784368,Medium,0.4099308534787127,Medium,5.5375337577047
WR-100040,Engineering,OHE,OHE Insulator Replacement,PUNE-SOL,Summer,3,13,0.42437878830176373,0.7678226834066658,24,63,5,3,770,0.8528567987904716,3,4,0.5989671735445653,0.85131890392562,2,91.45622673264405,6.012749597264174,11,4,0.8785065441792682,0.6016753897507822,High,0.599016751821408,High,8.534139283368361
WR-100041,TRD,Point Machine,BPAC Maintenance,PUNE-LNL,Summer,4,11,0.09241563893970572,0.4138732730056521,50,32,23,2,636,0.7659884151805373,3,7,0.7822342639896784,0.9760497610037847,3,209.7139152238241,3.94199525124448,10,4,0.6274939552858183,0.5861013475832202,Medium,0.4522640684175589,Medium,8.754743397036462
WR-100042,Engineering,Signal,Signal Maintenance,PUNE-MMR,Summer,4,12,0.9301560019165711,0.3258441867785233,40,34,5,4,451,0.9009998588615997,1,7,0.8809113445872822,0.3460951135898811,5,199.90876518113004,7.5047342870595655,10,1,0.48190751320392844,0.7286787373917166,High,0.7765699065102888,High,7.9763883081047435
WR-100043,S&T,Turnout,Point Machine Maintenance,KYN-PNVL,Winter,4,10,0.13759927216710366,0.49850448336383507,63,28,6,3,833,0.7487911621831602,5,7,0.8334208568507666,0.1282560114646214,3,150.8050729543573,7.104934709582404,11,1,0.39896526979706637,0.6003159242452543,High,0.42075021750237923,Medium,8.904002305408284
WR-100044,Engineering,BPAC,Signal Maintenance,PUNE-MMR,Monsoon,2,11,0.2502520275172696,0.6183074229423626,93,15,13,3,342,0.7644718827128854,0,12,0.29273073423034524,0.651242862487631,4,177.29931593071387,6.28072740586128,1,3,0.43250963995042013,0.5160754162984794,Medium,0.43625541763152903,Medium,6.325872077751053
WR-100045,TRD,Signal,Point Machine Maintenance,LNL-KARJAT,Monsoon,3,10,0.5148551629605275,0.4705206966904808,75,59,17,5,454,0.8983480886016995,3,12,0.928406486280191,0.7392609442552065,5,136.61851427256408,7.935923291480045,14,4,0.4851332884311909,0.6472628503986809,High,0.6152512122326075,High,8.844195851848143
WR-100046,Engineering,Turnout,BPAC Maintenance,KYN-PNVL,Monsoon,3,12,0.14802281260712488,0.8067516900941071,46,59,10,0,84,0.44039437323501024,1,2,0.9788141078878282,0.6510107647552345,2,192.58803555597487,7.389167334008126,0,0,0.38413490983880483,0.5709562214510865,Medium,0.4831859764743588,Medium,7.722773936521116
WR-100047,TRD,Point Machine,Rail Joint Renewal,LNL-KARJAT,Summer,2,6,0.09578876409074796,0.6756399235070562,45,13,13,3,664,0.35064500635077084,4,3,0.131842622693919,0.4175695060189907,6,158.04591593374565,5.6467136734313526,0,4,0.6904353396472904,0.36753081224234635,Medium,0.3294392651508706,Medium,8.169397616938769
WR-100048,TRD,OHE,Rail Joint Renewal,DD-PUNE,Winter,2,6,0.020194625584670497,0.8764285307916043,70,58,7,0,745,0.45603217490782033,2,5,0.6546783843379036,0.6699499134810206,2,201.76162217504051,3.054951465829465,6,22,0.5897438019238079,0.48122823629944184,Medium,0.2502276851967137,Low,7.678780089912823
WR-100049,Engineering,Rail,Rail Fracture Inspection,LNL-KARJAT,Winter,4,9,0.3884149545955218,0.19128754060334985,89,17,23,1,101,0.9369945466907722,0,5,0.26246456480086944,0.793296499521781,2,244.166353128722,4.6991373756519295,7,2,0.5049062492790211,0.6111729348843847,High,0.44841642296483153,Medium,4.2832808285642
WR-100050,S&T,BPAC,OHE Insulator Replacement,PUNE-SOL,Summer,4,13,0.3207124549191861,0.6481156111405199,63,48,9,1,519,0.840927344136021,0,4,0.8052101177590042,0.7032586309815296,4,188.3636513622265,2.586930562956552,8,1,0.48891542615721195,0.6955405148255812,High,0.545750277343348,Medium,7.995641514233508
WR-100051,S&T,Cable,Track Geometry Correction,KYN-PNVL,Winter,3,8,0.35438368353403565,0.6404179750650999,100,13,14,1,61,0.8325209011904939,3,9,0.11558197903861994,0.1759467803724879,5,24.123906133358965,6.511037003523514,18,0,0.9305239110073718,0.5684560968084955,Medium,0.46666086388381584,Medium,6.317016107484287
WR-100052,S&T,Mast,BPAC Maintenance,LNL-KARJAT,Winter,1,5,0.1280167445673066,0.4405199275054035,38,37,4,4,405,0.564643615019069,4,7,0.4888654051382497,0.23116611472919557,2,144.7029168733304,2.7408461686734733,18,2,0.9454779662701724,0.31596799419830196,Low,0.35688119192227946,Medium,7.88698928591891
WR-100053,S&T,Track,Signal Cable Inspection,PUNE-MMR,Winter,2,5,0.47502823194328436,0.5599400497297566,104,60,13,3,119,0.751313401310445,3,11,0.886179558755812,0.6004625169455616,5,120.44264638100827,6.364211368738732,7,22,0.4607628311140973,0.5948806464508287,Medium,0.5807144283404645,High,7.1033528380672655
WR-100054,TRD,OHE,Point Machine Maintenance,PUNE-LNL,Monsoon,3,5,0.33710370241961896,0.5617538045136387,74,26,10,3,894,0.44202841234753737,5,9,0.3659310877877854,0.714684113833062,4,0.07499932595816938,2.920519951500321,12,2,0.7460140040583991,0.5264389164993106,Medium,0.4258139937560979,Medium,8.898688521973902
WR-100055,S&T,Track,Mast Foundation Inspection,LNL-KARJAT,Winter,4,6,0.09336324102233484,0.38743555443554467,54,13,12,2,629,0.7721499373442293,5,8,0.21974224653168484,0.9038767073895855,5,83.27422512846391,6.804103360637986,5,0,0.858598549782866,0.5240110665736123,Medium,0.3841646065762964,Medium,7.434431610322145
WR-100056,Engineering,Cable,OHE Insulator Replacement,KYN-PNVL,Summer,3,5,0.04805137289692862,0.5784601229073907,49,29,18,1,164,0.5461883406726338,4,8,0.5473187444666163,0.07705635002906686,1,123.54443647049942,4.841932265730112,5,5,0.45320069822203185,0.4901110199251811,Medium,0.35941606866573445,Medium,5.332058435619997
WR-100057,Engineering,Mast,Mast Foundation Inspection,PUNE-MMR,Winter,3,5,0.1794780356050639,0.39682450133304437,85,27,18,3,459,0.5938428701971563,4,4,0.9064415202905411,0.9456045562776526,5,110.77029318812521,7.899182555316522,8,0,0.8775719537394652,0.5384938859263224,Medium,0.43762648505114365,Medium,8.468745778044653
WR-100058,Engineering,Cable,Rail Joint Renewal,PUNE-SOL,Winter,2,6,0.4311839999260016,0.3505896952102059,64,55,8,2,877,0.41657092554414393,6,11,0.3305970261163363,0.3454515806446522,4,30.949787721013784,2.0707783800179413,17,1,0.8355845074558276,0.4331488556749423,Medium,0.4448392308688889,Medium,8.147576314524981
WR-100059,Engineering,Rail,Mast Foundation Inspection,KYN-PNVL,Summer,2,9,0.3111398428036807,0.6958285618641201,57,44,20,2,79,0.8246609111076495,4,5,0.6812699437193288,0.9656316578649374,5,6.070820147861255,4.070885411098054,6,22,0.7914353600934338,0.5511841661943494,Medium,0.5058588592039251,Medium,6.940611136452837
WR-100060,Engineering,BPAC,OHE Insulator Replacement,DD-PUNE,Winter,2,7,0.145113630529356,0.5011235905973841,43,13,23,5,586,0.43407833855158395,3,10,0.8312886943478174,0.5465184454538318,5,182.59938459954344,7.751227202392171,7,0,0.5963607807764784,0.4004966011080766,Medium,0.35583030672348304,Medium,8.091606713970299
WR-100061,Engineering,Track,Rail Fracture Inspection,PUNE-LNL,Winter,3,9,0.2849148456927172,0.36469454615738356,71,26,16,4,851,0.8539390194745385,3,11,0.2586314394188001,0.05996542663520743,1,64.76624670770656,5.091963084034653,5,0,0.5386782603663927,0.49327296942171794,Medium,0.4849459677023405,Medium,6.275091713191568
WR-100062,S&T,Rail,Mast Foundation Inspection,PUNE-MMR,Summer,4,6,0.3682495396578344,0.750942390072479,21,26,4,1,481,0.8583351071314377,5,10,0.5044389110731621,0.1353134880207687,4,224.3676029489241,6.581709889382045,6,4,0.5490199920964312,0.668664498060791,High,0.5898265506354897,High,6.865793493025168
WR-100063,Engineering,Track,Point Machine Maintenance,PUNE-LNL,Monsoon,4,5,0.06190190402695337,0.6598136779651659,32,51,16,4,227,0.8100151232127673,0,8,0.11126086595749295,0.07409551360389588,4,115.38562167790303,4.399919910599958,12,0,0.5440846044059966,0.5637717272144778,Medium,0.40465394634774066,Medium,6.266802687297934
WR-100064,Engineering,Turnout,Signal Maintenance,LNL-KARJAT,Winter,1,5,0.24122895715279027,0.3619351275518859,46,15,19,3,708,0.6894290533051637,0,4,0.14826382231596158,0.9759656060791227,2,226.58431701584982,7.836706026520986,3,0,0.93232091093956,0.32919417283178626,Low,0.2747325622191124,Low,7.082039534496806
WR-100065,TRD,Point Machine,Signal Maintenance,PUNE-LNL,Monsoon,4,10,0.5108241969841213,0.3838886779702281,77,17,13,1,511,0.7938850275989771,1,5,0.7827131699423812,0.2638553311355718,4,21.015010045553755,3.4773290869444713,2,23,0.7077866987950288,0.6847990404130573,High,0.5849199187675823,High,7.563486538862527
WR-100066,Engineering,OHE,Point Machine Maintenance,LNL-KARJAT,Monsoon,3,8,0.23385331841242096,0.5831326867417239,65,35,5,4,60,0.5869424689726588,4,5,0.4243917766447073,0.8216285461192553,1,197.32810402867725,5.388137057147981,5,22,0.7538723755201235,0.532970672939602,Medium,0.4622721463580644,Medium,6.706589827878498
WR-100067,S&T,Point Machine,Mast Foundation Inspection,PUNE-SOL,Monsoon,1,12,0.21492607283756998,0.8628475917355657,84,41,17,1,463,0.35455629515378967,6,8,0.8362064779321521,0.9935217852935099,3,87.60697985482157,4.5688808490152795,7,22,0.5593819588679946,0.4420240680671374,Medium,0.43739476683003753,Medium,8.362029202667255
WR-100068,Engineering,Track,Signal Maintenance,PUNE-MMR,Summer,4,11,0.17665238509570258,0.5134605627882722,53,17,19,5,204,0.7028306121211926,5,8,0.3779637743384501,0.5267549765557407,2,64.57386277242495,5.295126420531744,6,0,0.9093236546964978,0.5646742964451987,Medium,0.44010525931302874,Medium,6.289091126837971
WR-100069,S&T,Signal,Signal Cable Inspection,KYN-PNVL,Monsoon,1,11,0.5694412482566334,0.7161557301237499,49,21,8,2,232,0.8941454107275442,5,8,0.9311937824368102,0.21955306437912714,4,104.8635091975477,5.73287019650577,9,4,0.5982463655021162,0.4982874998629515,Medium,0.5923028507676267,High,7.280773749971041
WR-100070,S&T,Point Machine,Rail Joint Renewal,PUNE-MMR,Winter,2,9,0.057007542497143154,0.4023333332546185,77,64,19,1,833,0.5617591787489975,0,11,0.8597135324431207,0.4723634566912288,2,221.63569170699603,2.150590815482971,4,1,0.661661131222333,0.44135908237185234,Medium,0.32291044714910677,Medium,7.55568466231136
WR-100071,Engineering,Point Machine,Mast Foundation Inspection,KYN-PNVL,Summer,2,6,0.5642885470074646,0.5616386533255726,45,17,23,1,860,0.5242464060014713,1,9,0.385946208844429,0.6951607272210087,1,180.39628502265998,7.0948953685413265,13,3,0.6240880892090941,0.48612016218823756,Medium,0.5594362099465183,High,7.637772418005799
WR-100072,Engineering,Mast,OHE Insulator Replacement,PUNE-SOL,Monsoon,3,8,0.26349243791419114,0.7164917428906268,45,38,10,4,35,0.9266224784272601,4,4,0.5781444410319959,0.689479389517378,1,126.53770673595108,2.261567166380792,4,2,0.36592997090686313,0.5879730398070712,Medium,0.5612859000690729,High,6.426724507196205
WR-100073,S&T,Signal,Rail Fracture Inspection,KYN-PNVL,Winter,3,13,0.30425955498946655,0.6322852686997698,36,13,7,0,485,0.9882485792502894,5,12,0.8849023425003152,0.5922060476726598,4,244.9979892688663,2.829784891925038,0,23,0.9028217289035234,0.6283642774055137,High,0.5115119093389343,Medium,7.162918945524344
WR-100074,TRD,Track,Rail Fracture Inspection,PUNE-LNL,Monsoon,2,7,0.11230238133891854,0.579128580524164,93,59,19,5,847,0.3572894994148038,3,2,0.35939087097668687,0.02779980448948427,2,248.1448068011343,7.437497907404909,18,22,0.7343785264097039,0.4657475226636219,Medium,0.3091877799762623,Medium,8.239923348296744
WR-100075,S&T,OHE,BPAC Maintenance,KYN-PNVL,Winter,4,10,0.467748224479828,0.6848327855011905,91,62,15,3,539,0.45416201617078544,6,10,0.2394612148538356,0.36418852035042215,5,19.539909275556518,7.954546301715002,14,0,0.9354044969321101,0.6624419990292867,High,0.5708282899332184,High,8.408501988758328
WR-100076,S&T,Signal,Signal Maintenance,DD-PUNE,Monsoon,3,11,0.5373272183594313,0.407268129737538,43,17,6,2,388,0.3556920278220456,0,6,0.7727130982672559,0.004679612115281784,5,151.1339867331005,7.060011070344299,7,23,0.719466728072153,0.5476640611018722,Medium,0.5804542196921275,High,6.60354695875147
WR-100077,Engineering,Track,Rail Joint Renewal,DD-PUNE,Winter,1,6,0.2512835752039686,0.7448457809717449,75,29,15,2,395,0.7062154904809916,2,4,0.895392206205834,0.9895433785668794,1,186.95253158430717,3.9758822790338204,11,1,0.704048075593075,0.42385070321209645,Medium,0.4386459181401996,Medium,7.650899492771084
WR-100078,Engineering,Point Machine,Signal Cable Inspection,PUNE-LNL,Summer,3,6,0.5041160601062044,0.7928242601758552,104,22,9,4,465,0.36533447417276227,3,3,0.441904424507347,0.42193497377843303,5,202.17408932231604,6.116020342631581,4,4,0.8712282639411429,0.6311235762107799,High,0.5768720123949461,High,7.435058614148634
WR-100079,Engineering,Track,BPAC Maintenance,PUNE-LNL,Summer,4,13,0.38128815243461245,0.6737749320366289,92,40,10,5,313,0.5406361287818153,4,11,0.9529772116374408,0.9661333107044502,5,205.66306867774887,3.1197268854580305,11,3,0.9530448864239304,0.692526975915546,High,0.5980919877216773,High,8.9619288589677
WR-100080,S&T,BPAC,OHE Insulator Replacement,PUNE-MMR,Winter,3,1,0.20518264527715172,0.4339007982707953,29,51,22,2,296,0.742244454891994,1,12,0.23658141934069807,0.11265248735751943,4,119.0637085445174,3.59611124765943,9,23,0.4250718668921868,0.5075202222205175,Medium,0.40609559362032244,Medium,5.670479622604957
WR-100081,TRD,OHE,Rail Joint Renewal,DD-PUNE,Summer,3,5,0.01622071089158181,0.402928103817606,57,42,12,0,557,0.7074585386159087,5,3,0.3550836667855378,0.4661057121908069,5,4.084886398844967,2.902205421390316,3,23,0.4389525495958412,0.44881414963188837,Medium,0.2581725740524337,Low,7.525717253184103
